id,description,chart_template_id:id,name,sequence,amount,amount_type,type_tax_use,price_include,account_id/id,refund_account_id/id,tag_ids/id,children_tax_ids/id
22a,22a,l10n_chart_it_fcoach66,IVA 22% da acquisti,58,0.22,percent,purchase,False,153010,153010,tax_tag_02,
22v,22v,l10n_chart_it_fcoach66,IVA 22% su vendite,58,0.22,percent,sale,False,260010,260010,tax_tag_07,
22vINC,22vINC,l10n_chart_it_fcoach66,IVA 22% da scorporare,58,0.22,percent,sale,True,260010,260010,tax_tag_08,
22c,22c,l10n_chart_it_fcoach66,IVA 22% sosp. da Acq.,58,0.22,percent,purchase,False,153030,153030,,
22s,22s,l10n_chart_it_fcoach66,IVA 22% sosp. da Vend.,58,0.22,percent,sale,False,260030,260030,,
22a0,22a0,l10n_chart_it_fcoach66,IVA 22% indetraibile,58,0.22,percent,purchase,False,,,,
22a0a,22a0a,l10n_chart_it_fcoach66,IVA 22% (100% indetraibile),100,1,percent,purchase,False,,,,
22a0b,22a0b,l10n_chart_it_fcoach66,IVA 22% (quota 0% detr.),200,,balance,purchase,False,153010,153010,,
2220,2220,l10n_chart_it_fcoach66,IVA 22% detraibile 20%,58,0.22,percent,purchase,False,,,,
2220a,2220a,l10n_chart_it_fcoach66,IVA 22% (quota 80% indet.),100,0.80,percent,purchase,False,,,,
2220b,2220b,l10n_chart_it_fcoach66,IVA 22% (quota 20% detr.),200,,balance,purchase,False,153010,153010,,
2250,2250,l10n_chart_it_fcoach66,IVA 22% detraibile 50%,58,0.22,percent,purchase,False,,,,
2250a,2250a,l10n_chart_it_fcoach66,IVA 22% (quota 50% indet.),100,0.50,percent,purchase,False,,,,
2250b,2250b,l10n_chart_it_fcoach66,IVA 22% (quota 50% detr.),200,,balance,purchase,False,153010,153010,,
2270,2270,l10n_chart_it_fcoach66,IVA 22% detraibile 70%,58,0.22,percent,purchase,False,,,,
2270a,2270a,l10n_chart_it_fcoach66,IVA 22% (quota 30% indet.),100,0.30,percent,purchase,False,,,,
2270b,2270b,l10n_chart_it_fcoach66,IVA 22% (quota 70% detr.),200,,balance,purchase,False,153010,153010,,
2280,2280,l10n_chart_it_fcoach66,IVA 22% detraibile 80%,58,0.22,percent,purchase,False,,,,
2280a,2280a,l10n_chart_it_fcoach66,IVA 22% (quota 20% indet.),100,0.20,percent,purchase,False,,,,
2280b,2280b,l10n_chart_it_fcoach66,IVA 22% (quota 80% detr.),200,,balance,purchase,False,153010,153010,,
4a,4a,l10n_chart_it_fcoach66,IVA 4% da acquisti,76,0.04,percent,purchase,False,153010,153010,,
4v,4v,l10n_chart_it_fcoach66,IVA 4% su vendite,76,0.04,percent,sale,False,260010,260010,,
4vINC,4vINC,l10n_chart_it_fcoach66,IVA 4% da scorporare,76,0.04,percent,sale,True,260010,260010,,
4a0,4a0,l10n_chart_it_fcoach66,IVA 4% indetraibile,76,0.04,percent,purchase,False,,,,
4a0a,4a0a,l10n_chart_it_fcoach66,IVA 4% (100% indetraibile),100,1,percent,purchase,False,,,,
4a0b,4a0b,l10n_chart_it_fcoach66,IVA 4% (quota 0% detr.),200,,balance,purchase,False,153010,153010,,
450,450,l10n_chart_it_fcoach66,IVA 4% detraibile 50%,76,0.04,percent,purchase,False,,,,
450a,450a,l10n_chart_it_fcoach66,IVA 4% (quota 50% indet.),100,0.50,percent,purchase,False,,,,
450b,450b,l10n_chart_it_fcoach66,IVA 4% (quota 50% detr.),200,,balance,purchase,False,153010,153010,,
10a,10a,l10n_chart_it_fcoach66,IVA 10% da acquisti,70,0.10,percent,purchase,False,153010,153010,tax_tag_01,
10v,10v,l10n_chart_it_fcoach66,IVA 10% su vendite,70,0.10,percent,sale,False,260010,260010,tax_tag_05,
10vINC,10vINC,l10n_chart_it_fcoach66,IVA 10% da scorporare,70,0.10,percent,sale,True,260010,260010,tax_tag_06,
10a0,10a0,l10n_chart_it_fcoach66,IVA 10% indetraibile,70,0.10,percent,purchase,False,,,,
10a0a,10a0a,l10n_chart_it_fcoach66,IVA 10% (100% indetraibile),100,1,percent,purchase,False,,,,
10a0b,10a0b,l10n_chart_it_fcoach66,IVA 10% (quota 0% detr.),200,,balance,purchase,False,153010,153010,,
1050,1050,l10n_chart_it_fcoach66,IVA 10% detraibile 50%,70,0.10,percent,purchase,False,,,,
1050a,1050a,l10n_chart_it_fcoach66,IVA 10% (quota 50% indet.),100,0.50,percent,purchase,False,,,,
1050b,1050b,l10n_chart_it_fcoach66,IVA 10% (quota 50% detr.),200,,balance,purchase,False,153010,153010,,
20a,20a,l10n_chart_it_fcoach66,IVA 20% da acquisti,60,0.20,percent,purchase,False,153010,153010,,
20v,20v,l10n_chart_it_fcoach66,IVA 20% su vendite,60,0.20,percent,sale,False,260010,260010,,
20vINC,20vINC,l10n_chart_it_fcoach66,IVA 20% da scorporare,60,0.20,percent,sale,True,260010,260010,,
20a0,20a0,l10n_chart_it_fcoach66,IVA 20% indetraibile,60,0.20,percent,purchase,False,,,,
20a0a,20a0a,l10n_chart_it_fcoach66,IVA 20% (100% indetraibile),100,1,percent,purchase,False,,,,
